Symbol,Company Name,Div. Yield,Stock Price,% Change,Market Cap
CHRD,Chord Energy Corporation,8.31%,122.15,0.99%,7.47B
AES,The AES Corporation,5.41%,13.01,-1.66%,9.25B
VALE,Vale S.A.,5.30%,8.62,-0.12%,36.74B
FANG,"Diamondback Energy, Inc.",4.89%,169.64,-0.77%,49.53B
DVN,Devon Energy Corporation,4.30%,33.75,-0.53%,22.17B
NOG,"Northern Oil and Gas, Inc.",4.26%,38.5,0.52%,3.82B
RF,Regions Financial Corporation,4.21%,23.78,0.68%,21.61B
CNH,CNH Industrial N.V.,4.14%,11.36,1.43%,14.19B
PSX,Phillips 66,3.99%,115.17,-0.79%,47.56B
TNL,Travel + Leisure Co.,3.90%,51.23,2.77%,3.50B
PCAR,PACCAR Inc,3.89%,107.24,2.23%,56.23B
EMN,Eastman Chemical Company,3.68%,88.65,-0.02%,10.27B
XOM,Exxon Mobil Corporation,3.68%,107.74,-0.11%,473.53B
DTE,DTE Energy Company,3.64%,119.67,-1.57%,24.78B
QSR,Restaurant Brands International Inc.,3.63%,63.91,-1.59%,28.81B
VLO,Valero Energy Corporation,3.51%,122.12,-1.72%,38.66B
FITB,Fifth Third Bancorp,3.35%,42.94,1.30%,28.79B
ALLY,Ally Financial Inc.,3.31%,36.21,1.00%,11.03B
CMCSA,Comcast Corporation,3.31%,37.49,-0.48%,143.46B
PNC,"The PNC Financial Services Group, Inc.",3.27%,195.59,-0.02%,77.61B
LEA,Lear Corporation,3.27%,94.16,1.10%,5.12B
TGT,Target Corporation,3.22%,139.29,2.58%,63.82B
CTRA,Coterra Energy Inc.,3.20%,26.24,-,19.33B
CMS,CMS Energy Corporation,3.15%,65.42,-1.79%,19.55B
COP,ConocoPhillips,3.12%,99.99,-1.09%,129.34B
DG,Dollar General Corporation,3.11%,75.85,1.58%,16.68B
PB,"Prosperity Bancshares, Inc.",3.10%,74.75,-0.37%,7.12B
EOG,"EOG Resources, Inc.",3.09%,126.39,-0.14%,71.09B
ALV,"Autoliv, Inc.",2.99%,93.74,0.48%,7.38B
STT,State Street Corporation,2.95%,98.43,0.78%,28.85B
SRE,Sempra,2.94%,84.51,-3.60%,53.53B
FHN,First Horizon Corporation,2.93%,20.46,0.99%,10.85B
OVV,Ovintiv Inc.,2.90%,41.41,-0.91%,10.78B
MS,Morgan Stanley,2.88%,128.64,2.14%,207.24B
HWC,Hancock Whitney Corporation,2.87%,55.74,0.85%,4.80B
KDP,Keurig Dr Pepper Inc.,2.86%,31.08,-1.46%,42.16B
CADE,Cadence Bank,2.86%,34.95,1.45%,6.39B
WBS,Webster Financial Corporation,2.86%,55.96,0.87%,9.59B
SLB,Schlumberger Limited,2.84%,38.76,0.44%,54.74B
LMT,Lockheed Martin Corporation,2.83%,466,-3.28%,110.46B
PEG,Public Service Enterprise Group Incorporated,2.80%,85.7,-0.64%,42.70B
MTB,M&T Bank Corporation,2.79%,193.25,0.89%,32.06B
SYY,Sysco Corporation,2.73%,74.74,-0.91%,36.71B
CRC,California Resources Corporation,2.67%,52.2,0.50%,4.79B
MET,"MetLife, Inc.",2.66%,81.99,-0.27%,56.77B
VOYA,"Voya Financial, Inc.",2.63%,68.58,-0.95%,6.60B
MPC,Marathon Petroleum Corporation,2.59%,140.53,-1.55%,45.16B
BC,Brunswick Corporation,2.54%,66.24,2.70%,4.37B
APD,"Air Products and Chemicals, Inc.",2.50%,283.24,-0.24%,62.99B
HAL,Halliburton Company,2.46%,27.66,-0.07%,24.30B
ACI,"Albertsons Companies, Inc.",2.45%,19.6,-1.01%,11.36B
BK,The Bank of New York Mellon Corporation,2.41%,77.92,1.29%,56.65B
PPG,"PPG Industries, Inc.",2.36%,115.07,0.70%,26.66B
SEE,Sealed Air Corporation,2.35%,33.98,0.77%,4.95B
LW,"Lamb Weston Holdings, Inc.",2.35%,63.05,-3.78%,8.99B
PR,Permian Resources Corporation,2.34%,14.94,-1.32%,12.00B
UNP,Union Pacific Corporation,2.33%,230.01,-0.64%,139.45B
UNM,Unum Group,2.29%,73.27,0.23%,13.38B
BAC,Bank of America Corporation,2.29%,45.4,1.32%,348.35B
CL,Colgate-Palmolive Company,2.29%,87.54,-2.90%,71.52B
MKC.V,"McCormick & Company, Incorporated",2.28%,75,-1.36%,19.91B
NSC,Norfolk Southern Corporation,2.28%,236.96,0.46%,53.61B
HPE,Hewlett Packard Enterprise Company,2.28%,22.85,4.72%,30.06B
EWBC,"East West Bancorp, Inc.",2.27%,96.94,1.52%,13.44B
AZN,AstraZeneca PLC,2.22%,66.84,0.89%,208.01B
NKE,"NIKE, Inc.",2.22%,72,-1.79%,106.50B
WFC,Wells Fargo & Company,2.22%,72.03,1.01%,239.82B
RRR,"Red Rock Resorts, Inc.",2.20%,45.4,1.09%,4.77B
GD,General Dynamics Corporation,2.20%,257.99,-2.04%,70.83B
BBWI,"Bath & Body Works, Inc.",2.19%,36.55,-3.05%,7.92B
MGY,Magnolia Oil & Gas Corporation,2.18%,23.85,-0.50%,4.69B
MMM,3M Company,2.15%,130.29,0.32%,70.95B
QCOM,QUALCOMM Incorporated,2.13%,159.85,1.28%,177.59B
KR,The Kroger Co.,2.11%,60.62,-1.37%,43.87B
JD,"JD.com, Inc.",2.11%,35.14,-0.57%,50.94B
BOKF,BOK Financial Corporation,2.09%,108.86,0.59%,6.98B
JPM,JPMorgan Chase & Co.,2.08%,240.85,-0.49%,678.07B
TPR,"Tapestry, Inc.",2.07%,67.66,1.33%,15.51B
YUM,"Yum! Brands, Inc.",2.06%,130.17,-2.45%,36.33B
GS,"The Goldman Sachs Group, Inc.",2.06%,583.39,0.56%,192.06B
PGR,The Progressive Corporation,2.05%,239.59,-1.09%,140.35B
HON,Honeywell International Inc.,2.04%,221.74,-2.11%,144.19B
CMI,Cummins Inc.,2.03%,358.04,1.04%,49.12B
FDX,FedEx Corporation,2.02%,273.97,-0.16%,65.99B
BLK,"BlackRock, Inc.",2.01%,"1,012.74",-0.79%,156.85B
CI,The Cigna Group,2.00%,279.66,-0.37%,77.79B
